lemmas,bigrams,depenrel
"['chines', 'asian', 'ny', 'pay', 'lot', 'food', 'better', 'wors', 'place', 'decor', 'fusion']",other chinese;asian fusion;,you pay;lot pay;food is;no better;other places;chinese fusion;asian fusion;
"['well', 'great', 'entre']",great entrees;here as;as well;,they have;great entrees;entrees have;
"['kid', 'love', 'teenag']",,teenage kids;kids love;it love;
"['decent', 'excel', 'consist', 'servic']",not consistently;consistently excellent;,service is;not is;
"['tast', 'dish', 'option', 'next', 'food', 'serv', 'better', 'good', 'portion', 'small']",small tasting;very good;,food is;small portions;dish being;
"['guy', 'awesom']",,guys are;
"['cater', 'know', 'hot', 'oblig', 'palat', 'like', 'will', 'let', 'american']",american palates;hot let;,they cater;american palates;you like;it hot;them know;they are;willing than;
"['love', 'place']",,i loved;place loved;
"['present', 'go', 'delici', 'tell', 'mango', 'chicken', 'beati']",n't go;,i had;chicken had;i go;n't go;you tell;that was;presentation was;
"['food', 'ambienc', 'care']",,i care;
"['delight', 'also', 'overpric', 'wait', 'oh', 'drink']",also delightfully;delightfully overpriced;,we were;which overpriced;
"['avoid', 'cost']",,
"['would', 'occas', 'everyon', 'place', 'highli', 'recommend']",highly recommend;,i recommend;place recommend;
"['fantast', 'servic']",,service is;
"['blowup', 'spot', 'hide', 'soon', 'tri', 'sure', 'recommend']",i recommend;hidden spot;surely blowup;very soon;,i recommend;you try;hidden spot;spot try;which blowup;
"['garlic', 'mash', 'citi', 'potato', 'hand', 'best']",mashed potatoes;,garlic potatoes;mashed potatoes;potatoes are;
"['okay', 'food', 'servic']",,food was;
"['romant', 'even', 'great', 'fun', 'friend']",romantic evening;fun evening;,romantic evening;fun evening;
"['chewi', 'cook', 'extrm', 'meat', 'lamb']",lamb meat;,meat was;cooked chewy;
"['ever', 'pad', 'best', 'thai']",best pad;ever had;,best pad;i had;
"['servic', 'lot', 'substanti', 'must', 'less', 'food', 'qualiti', 'crowd', 'reason', 'definit', 'use', 'time', 'part', 'decreas']",lot less;less crowded;definitely be;be part;,quality decreased;it is;it used;service be;
"['pizza', 'fantast', 'servic', 'great']",great pizza;fantastic service;,great pizza;fantastic service;
"['tea', 'seat', 'hot', 'waiter', 'date', 'spill', 'wine', 'outsid', 'red']",red wine;hot tea;,we seated;waiter spilled;red wine;wine spilled;hot tea;
"['would', 'next', 'oil', 'time', 'ask']",just ask;oil next;next time;,i ask;next time;
"['insultingli', 'horribl', 'overli', 'food', 'place', 'pretti', 'way', 'cute', 'french']",pretty place;overly cute;cute french;french way;insultingly horrible;,this is;pretty place;cute way;french way;food was;
"['go', 'review', 'lunch', 'read', 'expect', 'good']",i went;not as;as good;,i went;it was;not was;i expected;i read;
"['know', 'main', 'restaur', 'hall', 'central', 'liter', 'overlook', 'realli', 'expect', 'grand']",really did;n't know;literally overlooks;main hall;grand central;,i know;n't know;what expect;that overlooks;main hall;hall overlooks;grand central;
"['yucki', 'stuff', 'whip', 'none']",whipped stuff;,yucky stuff;whipped stuff;
"['list', 'bruno', 'great', 'wine', 'dessert', 'good', 'street', 'use', 'ship']",wine list;n't great;not as;as good;,list is;n't is;desserts shipped;which is;not is;it used;
"['order', 'never', 'get', 'lassi', 'time', 'ask']",never got;,i ordered;lassi ordered;times asked;never got;it got;
"['coffe', 'quit', 'good']",quite good;,coffee is;
"['recommend', 'place', 'anyon', 'would']",not recommend;,i recommend;not recommend;place recommend;
"['servic', 'initi', 'great', 'food', 'fine', 'wine', 'list', 'good', 'italian']",great wine;wine list;good food;initially fine;,great list;list was;good food;
"['despit', 'fact', 'tabl', 'larg', 'space', 'floor', 'overcrowd']",,space is;they overcrowded;floor overcrowded;
"['pleasant', 'look', 'know', 'compani', 'enjoy', 'bore', 'friend', 'seek', 'shirt', 'eat', 'agenda', 'tee', 'experi', 'vintag', 'busi', 'show']",too busy;busy showing;i 'm;pleasant experience;,i know;you were;vintage shirt;shirt showing;agenda is;i 'm;company enjoy;pleasant experience;experience seeking;
"['servic', 'waitress', 'go', 'far', 'friendli', 'get', 'do', 'particularli', 'job']",as far;not particularly;particularly friendly;,service goes;waitresses were;not were;they got;job done;
"['give', 'time', 'also', 'least', 'roll', 'event', 'becom', 'date', 'hostil', 'chose', 'place', 'regret', 'help', 'run', 'grand', 'around']",not helpful;grand run;around so;not only;only regret;also become;,they are;not are;grand run;run give;date rolls;rolls regret;place chosing;
"['three', 'come', 'final', 'dish', 'ive', 'request', 'time', 'back', 'ask']",finally came;dish ive;,i had;her ask;she came;i requested;
"['normal', 'improp', 'delici', 'howev', 'host', 'complain', 'would']",not complain;,that be;they were;host complain;not complain;
"['taxan', 'delici']",taxan delicious;,
"['suprisingli', 'averag', 'perhap', 'rat', 'night']",suprisingly average;,it was;off night;it was;
"['come', 'decker', 'size', 'tripl', 'get', 'sandwich', 'nyc', 'place', 'price', 'want', 'unlik', 'reason', 'portion']",other places;only come;reasonably-sized portion;,other places;sandwiches come;you want;triple decker;you get;what want;you want;sized portion;
"['still', 'cuisin', 'southern', 'indian']",southern indian;indian cuisine;still there;,southern cuisine;cuisine is;
"['need', 'neighborhood', 'restaur', 'kind', 'place', 'bother', 'small', 'snob']",not bother;neighborhood kind;,snobs bother;not bother;this is;small kind;
"['fail', 'dozen', 'enjoy', 'never', 'experi', 'time']",been dozens;never failed;,never failed;experience enjoy;
"['salad', 'appeal', 'even', 'make']",n't even;even make;,they make;n't make;salad make;that appealing;
"['tip', 'two', 'buck', 'less', 'peopl']",,people was;less 25;
"['sushi', 'killer']",,
"['pack', 'delici', 'cours', 'food', 'reason']",so packed;so delicious;,reason is;food is;
"['tast', 'cover', 'friendli', 'staff']",,staffs are;not are;taste covers;all covers;
"['stroke', 'everyth', 'play', 'jukebox', 'opera', 'italian']",plays everything;italian opera;,jukebox plays;everything plays;italian opera;
"['nyc', 'deli', 'mani']",many nyc;nyc delis;,i been;many delis;nyc delis;
"['alway', 'place', 'pack']",always packed;,place is;
"['care', 'seem', 'like', 'much', 'time']",not care;,it seems;they care;not care;
"['perfect', 'martini', 'plu', 'make']",perfect martini;,they made;perfect martini;martini made;
"['french', 'exot', 'call', 'seem', 'indian', 'food', 'touch', 'fusion', 'sure', 'would']",not sure;here indian;exotic touch;,i am;not am;i call;food call;it is;what seems;exotic touch;
"['cuisin', 'familiar', 'thai', 'eat', 'time', 'mani']",thai many;many times;very familiar;,i eaten;thai eaten;many times;
"['waiter', 'attent']",,waiter was;
"['return', 'margarita', 'napl', 'best', 'sinc']",best i;i 've;,margarita is;i had;i returned;
"['last', 'restaur', 'base', 'night', 'highli', 'experi', 'recommend']",highly recommend;experience last;last night;,i recommend;restaurant recommend;last night;
"['tast', 'mouth', 'water', 'make']",mouth water;,tastes makes;water makes;
"['come', 'citi', 'restaur', 'tri', 'husband', 'recommend', 'friend']",,i came;restaurant try;friend recommended;it recommended;
"['haze', 'look', 'upon', 'purpl', 'sake', 'extens', 'make', 'request', 'us', 'list']",sake list;n't listed;,list was;we looking;purple haze;which listed;n't listed;
"['typic', 'simpli', 'overpric', 'close', 'cram', 'tabl', 'restaur', 'way', 'wine', 'list', 'menu', 'italian']",crammed way;too close;italian restaurant;wine list;simply overpriced;,tables crammed;menu is;italian restaurant;list overpriced;
"['come', 'wonder', 'wait', 'experi', 'back']",wonderful experience;n't wait;,wonderful experience;n't wait;
"['food', 'awe', 'actual']",actually aweful;,food was;
"['offici', 'g', 'b', 'twenti', 'time', 'din']",twenty times;,
"['perfect', 'appet', 'serv', 'lunch', 'free', 'portion']",free appetizer;,they served;free appetizer;portions are;
"['breath', 'tone', 'dinner', 'set', 'space', 'intim', 'decor', 'actual']",,decor sets;tone sets;intimate dinner;
"['bite', 'die', 'servic', 'friday', 'go', 'great', 'around']",,we went;it died;service was;
"['steak', 'medium', 'order', 'husband']",,husband ordered;steak ordered;
"['rice', 'furthermor', 'sushi', 'disgust', 'bland', 'season']",was bland;,rice had;seasoning had;sushi was;
"['cuisin', 'menu', 'sushi', 'larg', 'fresh', 'place', 'japanes', 'reali', 'classic', 'nice']",fresh sushi;nice large;large menu;japanese classic;classic cuisine;,place realy;fresh sushi;sushi realy;nice menu;large menu;japanese cuisine;classic cuisine;
"['sushi', 'price', 'averag', 'anyth']",are anything;,sushi is;prices are;
"['shanghai', 'attract', 'also', 'wife', 'enjoy', 'low', 'mein', 'spinach']",also enjoyed;shanghai low;low mein;other attractions;,wife enjoyed;spinach enjoyed;shanghai mein;low mein;other attractions;
"['websit', 'give', 'coem', 'owner', 'must', 'credit']",,owner have;coem have;credit give;
"['servic', 'turn', 'upstair', 'sit', 'full']",full service;,full service;
"['go', 'back', 'would']",,i go;
"['definit', 'back']",,
"['sum', 'order', 'dim', 'piec', 'sever']",6-8 pieces;,several had;dim orders;pieces had;
"['much', 'review', 'whine', 'sure']",not sure;other reviewers;so much;,i 'm;not 'm;other reviewers;reviewers whining;
"['way', 'thai', 'live']",thai way;,they live;thai way;
"['suggest', 'fetish', 'tri', 'dumpl']",fetish i;,you have;dumpling fetish;fetish have;i suggest;you try;some try;
"['three', 'horedev', 'page', 'one', 'wine', 'menu', 'entre']",,
"['come', 'year', 'alway', 'owner', 'wonder', 'food', 'accomod', 'friendli', 'consist']",consistently wonderful;always been;,food is;i coming;owner been;
"['apologet', 'owner', 'call', 'waiter', 'dismay', 'nonchal', 'promis', 'extermin', 'expect', 'would']",,waiters were;exterminator call;n't were;i expected;
"['lot', 'open', 'eat', 'nearbi', 'first', 'live']",i live;first opened;i ate;,i live;they opened;i ate;
"['fantast', 'food']",,food was;
"['take', 'still', 'like', 'secret', 'kind', 'place', 'keep', 'friend']",still keep;,this is;you like;friends take;secret keep;
"['sit', 'n', 'milk', 'tea', 'look', 'pearl', 'hot', 'sweet', 'style', 'go', 'order', 'hong', 'tapioca', 'place', 'tart', 'drink', 'kong', 'convers', 'friend']",hong-kong styled;styled milk;tapioca pearls;,you looking;drink have;sweet tart;styled milk;milk order;
"['includ', 'chef', 'torro', 'fatti', 'tail', 'urchin', 'assort', 'blue', 'boton', 'fish', 'asid', 'sea', 'yellow', 'shrimp', 'eel', 'tuna', 'etc', 'fin', 'recommend']",fish including;fatty yellow;yellow tail;blue fin;fatty tuna;,chef recommended;assortment recommended;fatty tail;yellow tail;blue fin;fatty tuna;
"['especi', 'friendlier', 'also', 'owner', 'kenni']",also friendlier;,they 're;
"['seat', 'forget', 'comfort', 'everyth', 'plate', 'except', 'room', 'particularli']",not particularly;particularly comfortable;,room is;not is;you seated;you forget;what 's;
"['life', 'except', 'one', 'nyc', 'never', 'waterbug', 'see', 'place', 'live', 'realli', 'dream', 'bad', 'mani']",never before;before seen;so many;many waterbugs;really bad;bad dream;,i lived;nyc in;never before;many waterbugs;waterbugs seen;bad dream;
"['winni', 'staff', 'serv', 'crew', 'best', 'find']",best crew;,winnie are;best crew;you find;you serving;
"['minim', 'dish', 'carozza', 'saltimbocca', 'eggplant', 'chicken', 'food', 'parmesan', 'ambianc', 'veal', 'quit', 'good', 'phenomen']",not phenomenal;quite good;eggplant parmesan;,ambiance is;food is;not is;dishes are;such as;eggplant parmesan;veal parmesan;
"['give', 'item', 'waiter', 'host', 'appet', 'order', 'us', 'group', 'ask']",not only;other items;not ordered;,host asked;waiter gave;what ordered;we ordered;other items;that ordered;not ordered;
"['fridg', 'packag', 'chutney', 'even', 'get', 'stock']",even get;get packages;,you get;packages get;fridge stock;
"['bar', 'variou', 'special', 'mix', 'catcher', 'select', 'drink']",various selections;mixed drink;drink special;special is;,bar has;various selections;selections has;mixed drink;
"['slightli', 'worth', 'side', 'pricey']",pricey side;,pricey side;it worth;
"['food', 'servic', 'must', 'ambienc']",,it is;n't is;it be;
"['chef', 'staff', 'cours', 'past', 'chang', 'better', 'month']",,past months;chef changed;it was;not was;
"['like', 'origin', 'dark', 'ambienc']",very dark;,i like;ambience like;it 's;
"['typic', 'gimmick', 'restaur', 'nyc', 'theme']",typical nyc;,not restaurant;typical restaurant;nyc restaurant;
"['explor', 'eat', 'central', 'food', 'want', 'court', 'grand']",grand central;n't want;,we exploring;grand central;central exploring;n't want;
"['overal', 'money', 'worth']",,not worth;money worth;
"['price', 'worth', 'place']",not worth;,place is;not is;
"['drink', 'one', 'leav']",,we left;
"['mediocr', 'even', 'happen', 'everyth']",not even;,everything was;that happened;not was;
"['earli', 'last', 'week', 'noisi', 'pm', 'crowd', 'time', 'ago']",last time;few weeks;ago was;very crowded;,last time;time was;few weeks;it was;
"['citi', 'bagel', 'best', 'pick']",best bagels;,bagel pick;best bagels;bagels has;
"['bay', 'pay', 'numer', 'place', 'ridg', 'atmospher', 'nice']",numerous places;,you paying;which is;numerous places;
"['chef', 'nona', 'call', 'special', 'gnochi', 'alla', 'find']",gnochi alla;,it called;
"['ever', 'outdoor', 'ny', 'restaur', 'one', 'itali', 'nicest', 'place', 'see', 'countri', 'rival']",nicest outdoor;outdoor restaurants;ever seen;,it is;nicest restaurants;outdoor restaurants;i seen;i am;place rivals;ones rivals;
"['ye', 'take', 'bar', 'area', 'seat', 'wait', 'small']",waiting area;,you have;small there;waiting area;seat taken;
"['take', 'two', 'dish', 'spice', 'last', 'soo', 'order', 'flavor', 'could', 'food', 'eat', 'spici', 'bare', 'away', 'time']",i ordered;soo spicy;barely eat;,last times;i ordered;food was;i eat;it eat;spice took;
"['dumpl', 'great', 'fri']",fried dumplings;,fried dumplings;dumplings are;
"['chines', 'citi', 'style', 'place', 'bbq', 'rib', 'best']",best chinese;chinese style;,place has;best ribs;chinese style;ribs has;
"['name', 'know', 'waiter', 'ive', 'time', 'mani']",ive been;here so;so many;many times;,i been;many times;waiters know;name know;
"['decor', 'simpl', 'comfort']",very simple;,decor is;
"['tast', 'east', 'arriv', 'villag', 'frequent', 'disappoint', 'never', 'first', 'room', 'sinc']",first arrived;east village;i 've;never been;,i frequenting;room frequenting;it arrived;i disappointed;never disappointed;
"['pizza', 'grab', 'excel', 'two', 'goat', 'chees', 'blue', 'figur', 'special', 'one', 'pelligrino', 'larg', 'never', 'lunch', 'argentinian', 'share']",never had;argentinian pizza;large pelligrino;was goat;other blue;blue cheese;,we figured;we had;never had;argentinian pizza;pizza had;we grabbed;lunch grabbed;large pelligrino;pelligrino sharing;one was;other cheese;blue cheese;both were;
"['great', 'finish', 'start', 'way', 'heartland', 'day', 'breweri']",great way;,brewery is;great way;day finish;
"['cosmopolitan', 'tipsi', 'excel', 'kamasutra', 'bombay', 'time']",,kamasutra are;you tipsy;
"['spot', 'perfect', 'coupl', 'williamsburg', 'date']",perfect date;,this is;perfect spot;
"['dim', 'sum']",here is;only so-so;,dim sum;sum is;
"['rain', 'figur']",,it raining;we figured;
"['refil', 'food', 'fresh', 'tasti', 'continu', 'much']",much tasty;tasty food;continually refilled;,6 is;much food;tasty food;all fresh;
"['cheap', 'straight', 'good', 'food']",just straight;good food;,cheap food;good food;
"['anoth', 'neighborhood', 'addit', 'welcom']",welcome addition;,welcome addition;
"['seat', 'ok', 'though', 'even', 'sometim', 'peopl', 'alot']",'s alot;,seating is;
"['go', 'prefer', 'time', 'detail']",,i prefer;not go;
"['rel', 'averag', 'inexpens', 'call', 'even', 'fare', 'better', 'roof', 'wine', 'botl', 'cost']",relatively inexpensive;inexpensive botle;average fare;,inexpensive botle;you call;70.00 call;cost is;better for;average fare;
"['friendli', 'slow', 'servic', 'peopl']",,service was;people were;
"['bring', 'hot', 'tabl', 'steam', 'fresh']",so brought;brought hot;hot hot;hot hot;,hot hot;hot hot;hot brought;
"['steak', 'fatti', 'sauc', 'overpow', 'tasti']",very fatty;not very;very tasty;,steak was;sauce overpowering;not tasty;
"['problem', 'next', 'liter', 'top', 'peopl', 'sit']",only problem;literally sitting;,only problem;problem is;you sitting;
['afford'],,
"['staff', 'home', 'make', 'great', 'wonder', 'food', 'atmospher', 'feel']",,staff makes;you feel;food is;atmosphere is;
"['like', 'secret', 'keep', 'actual', 'feel']",actually feel;,i feel;i keep;it keep;
"['steak', 'dish', 'alright', 'like', 'dri', 'food', 'tend', 'stuff', 'good']",,food is;stuff is;some is;not is;which tends;
"['would', 'friend', 'go', 'jimmi', 'restaur', 'anywher', 'suggest', 'strongli', 'recommend']",not only;not recommend;recommend jimmy;strongly suggest;,i recommend;not recommend;restaurants recommend;i suggest;they go;
"['menu', 'someth', 'divers', 'everybodi']",very diverse;diverse menu;,they have;diverse menu;menu have;
"['simpli', 'disgust', 'park', 'haru']",simply disgusting;,haru is;s haru;
"['bring', 'check', 'bar', 'staff', 'even', 'order', 'sushi', 'dinner', 'lay', 'eat', 'busi']",too busy;busy ordering;ordering sushi;then laying;even bring;,staff was;sushi ordering;it laying;check bring;
"['alway', 'spot', 'late', 'citi', 'figur', 'long', 'food', 'patron', 'night', 'best', 'mamoun', 'find', 'time']",long-time patron;always figured;best late;late night;,long time;i figured;i found;best spot;late night;spot found;
"['uncl', 'dollar', 'bill', 'weekend', 'drop', 'score']",i drop;,i drop;more bills;bills drop;
"['huge', 'bagel']",,bagel was;
"['somewher', 'go', 'like', 'els', 'relax', 'feel']",,
"['gari', 'tuna', 'get']",,tuna get;
"['somosa', 'kinda', 'dhosa', 'like', 'chai', 'dhal', 'dissapoint', 'chole']",kinda dissapointing;,i like;somosas like;dhosas were;
"['surpris', 'nice']",very nice;nice surprise;,it was;nice surprise;
"['ripoff', 'give', 'area', 'price', 'what', 'realli', 'edibl']",given whats;,what s;
"['need', 'staff', 'seem', 'stress', 'clean', 'realli', 'bathroom', 'often', 'unisex', 'nice']",really stressed;unisex bathroom;more often;,staff been;they seemed;bathroom needs;
"['home', 'felt', 'like', 'realli', 'french']",really felt;,i am;i felt;
"['alway', 'casimir', 'time', 'great']",always had;great time;,i been;times casimir;i had;great time;time had;
"['good', 'thing', 'servic', 'restaur']",only thing;thing good;,service was;only thing;good thing;
"['usual', 'esp', 'pack', 'reason', 'good']",usually packed;good reason;,it 's;good reason;
"['friendli', 'servic', 'attent']",service- friendly;,
"['love', 'go']",,i love;
"['cannot', 'check', 'og', 'tri', 'highli', 'recommend']",not recommend;og more;more highly;,i recommend;not recommend;i tried;it check;
"['new', 'last', 'head', 'town', 'york', 'stop', 'next', 'eat', 'place', 'first', 'trip']",first place;first trip;new york;last place;next trip;new york;,it was;first place;we ate;first trip;new york;it be;last place;we stop;we head;next trip;new york;
"['slightli', 'rush', 'servic', 'prompt']",very prompt;slightly rushed;,service was;
"['decor', 'food', 'servic', 'great']",great food;great decor;great service;,great food;great decor;great service;
"['slightli', 'awkardli', 'seat', 'larger', 'atlhough', 'next', 'tabl', 'leav', 'open', 'space', 'us', 'ask']",slightly larger;larger space;awkardly seated;,tables opened;we asked;larger space;they left;us left;
"['palak', 'standard', 'fan', 'paneer', 'kofta', 'malai']",,paneer was;i was;not was;
"['alain', 'carlo', 'half', 'excel', 'restaur', 'price', 'mont', 'ducass', 'experi', 'din']",same excellent;excellent dining;dining experience;,i dined;alain ducasse;same experience;excellent experience;
"['servic', 'yeah', 'slow', 'sometim']",,service be;
['ambianc'],,
"['wast', 'servic', 'money', 'go', 'instead', 'food', 'save', 'best', 'street', 'calori', 'margharita', 'washington', 'amaz']",n't waste;washington street;amazing food;best service;,money save;n't waste;calories waste;they have;amazing food;food have;best service;
"['spring', 'tempura', 'without', 'dish', 'servic', 'roll', 'overbear', 'wonder', 'tri', 'pineappl', 'cod', 'attent']",pineapple tempura;,service was;dish was;we tried;
"['worth', 'trust']",so worth;,me trust;it is;
"['bay', 'someon', 'place', 'tourist', 'never', 'ridg', 'din']",never dined;,it is;not is;who dined;never dined;
"['perfect', 'spot']",perfect spot;,perfect spot;
"['sens', 'simpli', 'waitress', 'glass', 'whatsoev', 'make', 'multipli', 'price', 'x', 'thing', 'get', 'weird', 'bottl', 'would']",only weird;weird thing;simply multiplied;,only thing;weird thing;thing was;we got;bottle got;waitress multiplied;x4 multiplied;which makes;sense makes;
"['sell', 'everyth', 'special', 'sauc', 'sushi', 'etc', 'top']",special sushi;,they sell;special sushi;sushi sell;everything have;topping have;
"['tast', 'appar', 'hipster', 'rest', 'go', 'unless', 'like', 'hang', 'tri', 'sens']",not try;just going;apparently have;,not try;you going;who have;sense have;
"['come', 'glass', 'refil', 'never', 'back']",never came;,they came;never came;glasses refill;
"['excel', 'littl', 'servic', 'romant', 'friend', 'special', 'may', 'great', 'date', 'place', 'intim', 'crowd', 'occass', 'small', 'feel']",little crowded;romantic date;special occassion;,place is;you feel;little crowded;service is;it 's;romantic date;special occassion;
"['food', 'excel', 'servic', 'delici']",,service was;food was;
"['good', 'also', 'servic']",also very;very good;,service was;
"['take', 'last', 'girlfriend', 'birthday', 'night', 'relax', 'realli', 'meal', 'good']",birthday last;last night;really good;good meal;,i took;girlfriend took;last night;we had;relaxing meal;good meal;meal had;
"['enough', 'disappoint', 'make', 'qualiti', 'portion', 'good', 'would']",not have;so disappointed;,i been;not been;qualities were;they were;not were;
"['rude', 'friendli', 'time']",not very;very friendly;,they 're;not friendly;
"['nosh', 'comfort', 'happi', 'neighborhood', 'food']",very comforting;,i 'm;nosh have;food is;
"['music', 'rel', 'code', 'friday', 'except', 'hottest', 'dress', 'atmospher', 'strict', 'good', 'combin']",good atmosphere;hottest music;relatively strict;,good atmosphere;atmosphere is;hottest code;
"['bring', 'kindli', 'better', 'see', 'us']",kindly brought;,they brought;us brought;more brought;it was;it was;not was;
"['love', 'food']",,food love;
"['would', 'warm', 'romant', 'candl', 'famili', 'heart', 'anyon', 'dinner', 'surround', 'fill', 'want', 'highli', 'nina', 'pictur', 'recommend']",highly recommend;recommend nina;romantic dinner;,i recommend;nina recommend;who wants;romantic dinner;dinner have;
"['dessert', 'review', 'tri', 'get', 'favor', 'group']",favorable reviews;,desserts got;group tried;favorable reviews;reviews got;
"['smooth', 'east', 'sip', 'style', 'sake', 'side', 'upper', 'someth']",'s something;something smooth;sake upper;upper east;east side;,smooth something;sipping sake;upper style;east side;
"['place', 'convers', 'nice', 'relax']",nice place;have conversation;,it 's;nice place;conversation have;
"['area', 'new', 'get', 'york', 'restaur', 'place', 'japanes', 'best']",best japanese;japanese restaurant;new york;,place got;best restaurant;japanese restaurant;new area;
"['sandwich', 'reuben', 'best', 'ever']",best reuben;,best reuben;
"['strike', 'grab', 'bite', 'lucki', 'great', 'eat', 'place', 'casual']",lucky strike;great casual;casual place;just grab;,lucky strike;strike is;great place;casual place;bite grab;
"['well', 'strawberri', 'daiquiri', 'wonder']",wonderful strawberry;,wonderful daiquiries;strawberry daiquiries;
"['favorit', 'cook', 'go', 'hous', 'aunt', 'like', 'assum', 'volar', 'dinner', 'great', 'italian']",favorite aunt;great italian;italian cook;,favorite aunt;aunt is;great cook;italian cook;
"['alway', 'par', 'area', 'sushi', 'realli', 'sit', 'loud', 'nice', 'horrid', 'beyond', 'servic', 'acousitc', 'echo', 'averag', 'kitchen', 'everyth', 'go', 'wait', 'extrem', 'atmospher', 'sub', 'irrit']",below average;always been;really irritating;extremely loud;,sushi been;service been;atmosphere goes;you sit;acousitcs are;everything echoes;echoes is;
"['love', 'go', 'would']",,i loved;it loved;
"['bite', 'frite', 'side', 'delici', 'thick']",thick side;,frites were;thick side;
['good'],so so;so so;so so;so so;so good;,
"['buck', 'overpric', 'alon', 'realli']",really overprice;,it is;
"['among', 'queen', 'restaur', 'hundr', 'best', 'italian']",italian restaurants;,italian restaurants;this is;
"['valu', 'good']",very good;good value;,good value;
"['without', 'rigid', 'zen', 'get', 'feel']",feeling rigid;,you get;zen feel;
"['name', 'would', 'bar', 'though', 'drink', 'wait', 'local', 'put', 'first', 'get', 'time', 'recommend']",then getting;local bar;,i recommend;name putting;drink getting;local bar;wait time;
"['roast', 'dumpl', 'noodl', 'beef', 'slice', 'shrimp', 'pork', 'bbq', 'love', 'broth', 'egg', 'fell']",shrimp dumplings;,i fell;
"['rice', 'soup', 'cross', 'ride', 'whole', 'tabl', 'keep', 'hop', 'sit', 'peopl', 'finger', 'subway', 'conge', 'share']",i keep;whole subway;not have;,i keep;fingers crossed;whole ride;ride crossed;i sit;not have;
"['overal', 'town', 'best', 'bagel']",best bagel;,best bagel;
"['pizza', 'joint', 'ny', 'everyth']",ny pizza;,everything be;joint everything;
"['huge', 'return', 'delici', 'fresh', 'reason']",,it was;huge fresh;delicious fresh;we return;
"['go', 'often']",,we go;
"['roll', 'refresh', 'vietnames', 'summer', 'place', 'pari', 'fri', 'light', 'remind']",refreshing summer;not fried;vietnamese places;,light rolls;refreshing rolls;rolls remind;not fried;me remind;vietnamese places;
"['adequ', 'seem', 'sushi', 'fresh', 'pretti', 'proport']",pretty fresh;adequately proportioned;,sushi seemed;
"['away', 'moral', 'stay']",moral stay;,moral stay;
"['bite', 'slow', 'servic']",bit slow;,service was;
"['bite', 'though', 'great', 'top', 'spread', 'pricey']",,spreads are;
"['pizza', 'websit', 'know', 'go', 'link', 'da', 'ciro', 'saw', 'napoli', 'good']",da ciro;i knew;good pizza;,i saw;website had;link had;i knew;good pizza;
"['leav', 'one', 'plat', 'noth', 'touch', 'wrong', 'ask']",,one asked;what was;we left;
"['indoor', 'cute', 'cozi']",very cozy;,indoor was;
"['rush', 'hour', 'mimosa', 'flow', 'whole', 'keep', 'brunch', 'definit', 'unlimit', 'time']",definitely do;not rush;rush you-;unlimited mimosas;whole time;,we had;brunch- had;they rush;not rush;you- rush;they kept;unlimited mimosas;mimosas kept;whole time;
"['servic', 'think', 'terribl', 'price', 'high', 'food', 'get', 'away', 'actual', 'charg']",very high;actually think;such prices;such terrible;terrible food;,prices are;they think;they get;such prices;prices charging;such food;terrible food;
['terrif'],,they 're;
"['excel', 'servic', 'food', 'entir', 'experi', 'cool']",entire experience;very cool;,service was;food was;entire experience;experience was;
"['clean', 'good', 'servic', 'restur']",,service is;resturant is;
"['quiet', 'whether', 'look', 'spot', 'coupl', 'great', 'dinner', 'drink']",great spot;quiet dinner;,great spot;quiet dinner;
"['stick', 'dish', 'small']",small dishes;,small dishes;
"['outdoor', 'servic', 'comfort', 'chair', 'tabl', 'could', 'better', 'realli', 'cafe', 'nice']",really nice;comfortable outdoor;outdoor chairs;,cafe was;comfortable chairs;outdoor chairs;service been;
"['year', 'staff', 'problem', 'go', 'rare', 'slow']",rarely had;slow staff;years i;i 've;,i had;problem had;slow staff;i going;
"['food', 'excel']",,food is;
"['alley', 'barber', 'hole', 'doyer', 'buri', 'wall', 'chinatown', 'liter', 'place', 'pell', 'within', 'right', 'st']",literal hole-in-the-wall;,place is;literal hole;that buried;pell st;
"['hh', 'outshin']",outshine hh;,they outshine;hh outshine;
"['although', 'regular', 'look', 'lettuc', 'walnut', 'salad', 'great', 'get']",regular lettuce;,we looking;regular lettuce;salads walnuts;we got;
"['excel', 'buffet', 'lunch']",excellent lunch;,excellent buffet;
"['sorri', 'check', 'enjoy', 'past', 'place', 'list', 'recommend']",,we were;them check;we enjoyed;place recommended;
"['bring', 'cuisin', 'card', 'cash', 'problem', 'may', 'familiar', 'order', 'accept', 'encount', 'credit', 'plenti', 'sure']",not familiar;encounter problems;bring plenty;n't accept;accept credit;,you 're;not 're;you encounter;problems encounter;plenty bring;they accept;n't accept;cards accept;
"['delici', 'price', 'dinner', 'fill', 'lunch', 'reason', 'around']",very reasonably;reasonably priced;,both are;8 priced;
"['prune', 'problem', 'memor', 'noth', 'particularli']",is nothing;particularly memorable;,problem is;nothing is;
"['quaint', 'although', 'ambienc', 'vacat', 'cute', 'busi', 'good']",so cute;,ambience is;we were;
"['huge', 'size', 'sushi', 'portion', 'good']",here are;,sizes are;sushi is;
"['wish', 'expand']",,they expand;
"['cook', 'perfectli', 'eat', 'tuna', 'boyfriend']",,boyfriend ate;tuna ate;it cooked;
