reviews,lemmas,lemmas,aspectCategory
"the homemade Guacamole, the unbelievable entree, and thee most amazing deserts.","['unbeliev', 'amaz', 'desert', 'entre', 'thee', 'guacamol', 'homemad']",unbelievable entree;most amazing;amazing deserts;,food
The sushi is reasonably priced and fresh.,"['fresh', 'price', 'sushi', 'reason']",reasonably priced;,food
"It's no-fuss, fast and delicious.","['fast', 'delici', 'fuss']",,food
Save room for deserts - they're to die for.,"['desert', 'die', 'room', 'save']",save room;,food
Best things to order are from the grill (Churrasco and Ribs).,"['rib', 'best', 'order', 'churrasco', 'grill', 'thing']",,food
The traditional Italian items are great - cheap and served in a cozy setting.,"['serv', 'tradit', 'cozi', 'set', 'cheap', 'item', 'italian', 'great']",traditional italian;italian items;,food
Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.,"['hot', 'ice', 'whether', 'happi', 'choos', 'white', 'mocha', 'extrem', 'blend', 'sure']",blended mocha;hot white;white mocha;extremely happy;,food
last Tuesday for a late lunch with a friend.,"['tuesday', 'late', 'last', 'friend', 'lunch']",last tuesday;late lunch;,anecdotes/miscellaneous
It was delish and I didn't feel bad eating it.,"['bad', 'feel', 'delish', 'eat']",n't feel;bad eating;,food
Another friend had to ask 3 times for parmesan cheese.,"['time', 'anoth', 'chees', 'friend', 'parmesan', 'ask']",parmesan cheese;,service
"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.","['appar', 'food', 'one', 'recommend', 'never', 'tri', 'waitress', 'wine']",apparently never;never tried;,service
"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.","['small', 'place', 'slow', 'portion', 'servic', 'hungri', 'rush', 'bite']",bit slow;bit small;,service
"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.","['time', 'spirit', 'entertain', 'guest', 'want', 'town', 'bateaux', 'next', 'doubt', 'occas', 'special', 'destin', 'go']",next time;special occasion;entertaining guests;,anecdotes/miscellaneous
i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.,"['like', 'bako', 'pay', 'jewel', 'want', 'feel', 'groin', 'recommend', 'would', 'kick']",recommend jewel;,anecdotes/miscellaneous
"The ambiance was pretty cool, but not worth the hassle.","['ambianc', 'pretti', 'hassl', 'cool', 'worth']",pretty cool;,ambience
The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,"['ladi', 'quesedilla', 'includ', 'think', 'order', 'ask', 'salad', 'next', 'give', 'instead', 'dress', 'us', 'unfortun']",unfortunate lady;salad dressing;instead given;,service
"El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.","['nido', 'tasti', 'restaur', 'best', 'new', 'water', 'ever', 'one', 'york', 'mouth', 'varieti', 'el', 'pizza', 'great']",el nidos;best restaurants;new york;ever been;great variety;mouth watering;watering pizza;,food
"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.","['cost', 'outsid', 'leav', 'rel', 'custom', 'averag', 'pretti', 'poor', 'crazi', 'everi', 'well', 'bum', 'place', 'servic', 'harass', 'around', 'food']",pretty poor;average relative;crazy bum;,service
Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.,"['move', 'pay', 'possibl', 'stop', 'staff', 'visit', 'uptown', 'cheap', 'tri', 'friendli', 'food', 'although', 'often', 'great']",uptown i;i try;as often;great cheap;cheap food;friendly staff;,food
I had to wait for my friend at the bar for a few minutes,"['friend', 'bar', 'minut', 'wait']",few minutes;,anecdotes/miscellaneous
"Chef Vincenzo, always there if you need him, is a real talent and a real Roman.","['chef', 'real', 'need', 'roman', 'vincenzo', 'alway', 'talent']",real talent;real roman;,food
"If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf.","['visit', 'want', 'tast', 'indian', 'servic', 'curri', 'good', 'definit', 'look', 'food', 'leaf', 'great']",great indian;indian food;good service;,food
"You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).","['hot', 'kompot', 'stew', 'remind', 'salad', 'rabbit', 'day', 'make', 'home', 'lot', 'soo', 'must', 'odessa', 'good', 'tri', 'way', 'summer', 'mom', 'refresh']",rabbit stew;salads-all good;soo refreshing;hot summer;,food
My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.,"['leav', 'know', 'feel', 'daughter', 'healthi', 'stuff', 'good', 'lunch', 'satisfi', 'felt']",not stuffed;healthy lunch;,food
I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.,"['hang', 'bad', 'keep', 'fave', 'year', 'crowd', 'away', 'give', 'tempt', 'go', 'almost', 'realli', 'citi', 'place', 'review']",almost tempted;bad review;,anecdotes/miscellaneous
"When she complained, the waitress said, Sorry.","['sorri', 'waitress', 'complain', 'say']",,service
The quality of the meat was on par with your local grocery store.,"['local', 'qualiti', 'store', 'groceri', 'par', 'meat']",local grocery;,food
They specialize in smoothies and fresh juices.,"['fresh', 'juic', 'smoothi', 'special']",fresh juices;,food
"It first came well done, and I politely sent it back.","['come', 'back', 'first', 'send', 'well', 'do', 'polit']",first came;well done;politely sent;,food
"I recommend the black roasted codfish, it was the best dish of the evening.","['roast', 'best', 'recommend', 'codfish', 'dish', 'even', 'black']",i recommend;black roasted;roasted codfish;best dish;,food
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,"['waiter', 'time', 'could', 'els', 'order', 'manag', 'want', 'place', 'menu', 'restur', 'tell', 'whatev', 'us', 'let', 'go', 'annoy']",then told;so annoyed;,service
"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.","['dark', 'mi', 'chicken', 'burrito', 'noth', 'week', 'last', 'tast', 'warm', 'microwav', 'cook']",here was;was nothing;last week;just warmed;microwave taste;,food
"during busy hrs, i recommend that you make a reservation.","['reserv', 'busi', 'recommend', 'make', 'hr']",busy hrs;i recommend;,anecdotes/miscellaneous
Don't waste your time or your money.,"['time', 'wast', 'money']",n't waste;,anecdotes/miscellaneous
"it's good but, like the movie is never as good as the book, this is same analogy.","['like', 'book', 'movi', 'analog', 'good', 'never']",never as;as good;same analogy;,anecdotes/miscellaneous
it was a very warm experience.,"['warm', 'experi']",very warm;warm experience;,anecdotes/miscellaneous
I went to Common Stock for brunch and I was so impressed.,"['brunch', 'stock', 'impress', 'common', 'go']",i went;common stock;so impressed;,anecdotes/miscellaneous
"now called nikki sushi, sushi is OK.","['nikki', 'ok', 'sushi', 'call']",now called;called nikki;,food
The food is also outstanding and is served quite quickly.,"['quit', 'also', 'serv', 'quickli', 'outstand', 'food']",also outstanding;quite quickly;,food
I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.,"['neg', 'noth', 'night', 'except', 'say', 'cheap', 'worth', 'place']",just have;have nothing;cheap night;so worth;,price
"From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care.","['restaur', 'handl', 'chees', 'erbazzon', 'dish', 'mostarda', 'delic', 'care', 'emiliana', 'plate']",cheese plate;delicate care;,food
The food is delicious and the bar has a great vibe.,"['delici', 'vibe', 'bar', 'food', 'great']",great vibe;,food
expectations were real hi reading the '10's'.,"['hi', 'real', 'expect', 'read']",real hi;,anecdotes/miscellaneous
There's candlelight and music.,"['candlelight', 'music']",'s candlelight;,ambience
It's nice to find a place that is open 24 hours (especially in downtown Brooklyn).,"['find', 'nice', 'brooklyn', 'especi', 'hour', 'downtown', 'place', 'open']",downtown brooklyn;,anecdotes/miscellaneous
Simple healthy unglamorous food cheap.,"['healthi', 'unglamor', 'simpl', 'cheap', 'food']",simple healthy;healthy unglamorous;unglamorous food;,food
"It was such a fantastic dining experience, that I returned again the same week.","['week', 'din', 'return', 'fantast', 'experi']",fantastic dining;same week;,anecdotes/miscellaneous
"To be fair, the food still is good and the service is quick and attentative even though its usually very busy.","['usual', 'busi', 'though', 'fair', 'servic', 'even', 'good', 'attent', 'quick', 'still', 'food']",still is;usually very;very busy;,food
The place is absolutely adorable and the food is delicious.,"['delici', 'absolut', 'place', 'ador', 'food']",absolutely adorable;,ambience
I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.,"['get', 'shrimp', 'husband', 'chicken', 'order', 'garlic', 'teriyaki']",garlic shrimp;,food
I've had better Japanese food at a mall food court.,"['mall', 'japanes', 'better', 'court', 'food']",better japanese;japanese food;,food
The staff members are extremely friendly and even replaced my drink once when I dropped it outside.,"['drop', 'outsid', 'staff', 'extrem', 'even', 'member', 'replac', 'drink', 'friendli']",extremely friendly;even replaced;,service
Cool atmosphere but such a let down.,"['let', 'atmospher', 'cool']",,ambience
"The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.","['like', 'artif', 'peopl', 'fact', 'appeas', 'sashimi', 'use', 'lobster', 'big', 'enough', 'portion', 'meat']",sashimi portion;most people;i did;n't like;artifical lobster;,food
They have wheat crusted pizza made with really fresh and yummy ingredients.,"['fresh', 'crust', 'make', 'ingredi', 'yummi', 'realli', 'wheat', 'pizza']",crusted pizza;really fresh;yummy ingredients;,food
"Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt.","['dedic', 'pleasant', 'present', 'prepar', 'prompt', 'well', 'dinner', 'servic', 'seafood', 'joint', 'food', 'love']",lovely dinner;dedicated seafood;,food
"the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.","['ice', 'sweet', 'cake', 'light', 'make', 'creami', 'ultra', 'fluffi']",not ultra;ultra sweet;,food
"Finally let into the store 5 at a time, to buy expensive slices from a harried staff.","['slice', 'time', 'staff', 'store', 'buy', 'harri', 'let', 'final', 'expens']",finally let;expensive slices;harried staff;,price
We ended up having to just leave because we were essentially being ignored by the wait staff--even though the rest of the restaurant was largely empty.,"['leav', 'restaur', 'staff', 'though', 'empti', 'essenti', 'even', 'wait', 'rest', 'ignor', 'larg', 'end']",just leave;essentially being;wait staff;largely empty;,service
"The wine list is extensive, well priced and covers alot of regions.","['region', 'list', 'extens', 'cover', 'wine', 'well', 'alot', 'price']",wine list;well priced;,food
Go here if you want fresh and tasty salads of any type you can imagine.,"['fresh', 'want', 'salad', 'type', 'imagin', 'go', 'tasti']",tasty salads;,food
Everything about this place is adorable - even the bathroom!,"['place', 'even', 'everyth', 'bathroom', 'ador']",,anecdotes/miscellaneous
"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.","['decent', 'speedi', 'deliv', 'repast', 'enjoy', 'ensur', 'servic', 'combin', 'friendli', 'food', 'price', 'great']",great food;friendly service;enjoyable repast;,service
THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.,"['waiter', 'sidewalk', 'pull', 'suspici', 'make', 'us', 'tri']",have waiters;,anecdotes/miscellaneous
IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.,"['visit', 'want', 'meal', 'opportun', 'authent', 'italian']",only opportunity;authentic italian;italian meal;,anecdotes/miscellaneous
It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.,"['get', 'year', 'think', 'ever', 'least', 'make', 'take', 'wait', 'around', 'worth', 'parisi', 'pizza']",making pizza;least i;n't think;ever made;,food
I asked for a simple medium rare steak.,"['medium', 'simpl', 'steak', 'rare', 'ask']",simple medium;medium rare;rare steak;,food
"Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.","['falafel', 'style', 'wrap', 'chees', 'salad', 'dish', 'organ', 'gener', 'scrumptiou', 'layer', 'walnut', 'burger', 'garnish', 'jerusalem', 'market', 'grill', 'beet', 'goat', 'popular', 'mediterranean', 'equal']",generously garnished;organic grilled;grilled burgers;most popular;popular dish;jerusalem market-style;market-style falafel;mediterranean salads;equally scrumptious;,food
"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.","['waiter', 'probabl', 'new', 'worst', 'know', 'talk', 'york', 'former', 'din', 'experi']",worst dining;dining experience;new york;former waiter;so i;i know;i 'm;,anecdotes/miscellaneous
"Result (red velvet): Great texture, soft and velvety, nice hint of cocoa.","['red', 'velveti', 'textur', 'nice', 'hint', 'soft', 'result', 'cocoa', 'velvet', 'great']",red velvet;great texture;nice hint;,food
Ask for the round corner table next to the large window.,"['tabl', 'next', 'round', 'corner', 'larg', 'window', 'ask']",corner table;table next;large window;,anecdotes/miscellaneous
"Their twist on pizza is heatlhy, but full of flavor.","['heatlhi', 'twist', 'full', 'flavor', 'pizza']",,food
The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,"['ac', 'although', 'lack', 'million', 'fact', 'swarm', 'one', 'push', 'slight', 'turn', 'polit', 'everyon', 'bodi']",slight turn;,ambience
"I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people.","['visit', 'much', 'two', 'pie', 'compani', 'anyon', 'rude', 'locat', 'littl', 'servic', 'discourag', 'sale', 'central', 'love', 'review', 'peopl', 'due', 'write', 'els', 'must', 'grand']",little pie;pie company;as much;written reviews;discourage anyone;grand central;central location;location due;rude service;,anecdotes/miscellaneous
"Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure.","['unless', 'like', 'neighborhood', 'live', 'locat', 'hide', 'treasur', 'conveni', 'unfortun']",convenient location;hidden treasure;,anecdotes/miscellaneous
Didn't seem like any effort was made to the display and quality of the food.,"['effort', 'like', 'display', 'qualiti', 'make', 'seem', 'food']",n't seem;,food
The food--though mostly deep-fried--is simple and satisfying.,"['mostli', 'fri', 'though', 'simpl', 'food', 'deep', 'satisfi']",mostly deep-fried;,food
We live in the neighborhood and have been going there twice a week since the day they first opened.,"['neighborhood', 'sinc', 'first', 'live', 'week', 'day', 'go', 'open', 'twice']",there twice;first opened;,anecdotes/miscellaneous
"Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT.","['food', 'restaur', 'standard', 'glechik', 'cozi', 'russian', 'simpli', 'way', 'tini', 'might', 'great']",be way;too tiny;russian standards;simply great;,ambience
The food was excellent - authentic Italian cuisine made absolutely fresh.,"['fresh', 'absolut', 'cuisin', 'excel', 'make', 'food', 'authent', 'italian']",authentic italian;italian cuisine;absolutely fresh;,food
At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.,"['discov', 'jewel', 'night', 'turn', 'hide', 'wait', 'atmosher', 'chang']",atmoshere changes;hidden jewel;,ambience
"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.","['time', 'get', 'like', 'heaven', 'window', 'date', 'great', 'food', 'vip', 'crowd', 'place', 'booth', 'servic', 'romant', 'go', 'treat', 'walk']",other times;times i;i 've;romantic date;not-crowded place;great food;,ambience
I would only go for the coffee which is way better than Starbucks or the like.,"['like', 'would', 'better', 'way', 'coffe', 'go', 'starbuck']",only go;is way;,food
I used to be a regular costumer at pongal until dosa hut opened right next door to it.,"['regular', 'costum', 'door', 'next', 'hut', 'use', 'dosa', 'open', 'right', 'pongal']",regular costumer;dosa hut;right next;next door;,anecdotes/miscellaneous
Somewhat disappointing wine list (only new vintages.,"['disappoint', 'list', 'new', 'vintag', 'somewhat', 'wine']",somewhat disappointing;disappointing wine;wine list;only new;new vintages;,food
"Both were very good, but nothing you couldn't get at similar restaurant.","['get', 'restaur', 'similar', 'noth', 'good']",very good;n't get;similar restaurant;,anecdotes/miscellaneous
If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,"['high', 'place', 'dash', 'ghetto', 'sceneri', 'bx', 'cheap', 'look', 'food', 'price', 'nasti']",nasty high;priced food;ghetto scenery;scenery cheap;cheap bx;,food
new hamburger with special sauce is ok - at least better than big mac!,"['big', 'hamburg', 'new', 'least', 'mac', 'better', 'special', 'sauc', 'ok']",new hamburger;special sauce;least better;big mac;,food
"Perfectly al dente pasta, not drowned in sauce -- generous portions.","['perfectli', 'pasta', 'dent', 'al', 'gener', 'sauc', 'portion', 'drown']",perfectly al;al dente;not drowned;generous portions;,food
"I can understand the prices if it served better food, like some Chinese restaurants in midtown/uptown area.","['chines', 'like', 'restaur', 'serv', 'area', 'better', 'uptown', 'food', 'price', 'midtown', 'understand']",chinese restaurants;midtown/uptown area;,price
Service was awful - mostly because staff were overwhelmed on a Saturday night.,"['aw', 'mostli', 'staff', 'night', 'servic', 'overwhelm', 'saturday']",saturday night;,service
"To the owners; good job guys, this place is a keeper!","['keeper', 'owner', 'job', 'good', 'guy', 'place']",good job;,anecdotes/miscellaneous
and the owner is simply lovely and friendly.,"['love', 'owner', 'simpli', 'friendli']",simply lovely;,service
This little place is wonderfully warm welcoming.,"['wonder', 'warm', 'littl', 'place', 'welcom']",little place;wonderfully warm;warm welcoming;,ambience
perfect for a quick meal.,"['quick', 'perfect', 'meal']",quick meal;,anecdotes/miscellaneous
Has the warmth of a family local yet it is a great place to watch sporting events.,"['watch', 'local', 'sport', 'famili', 'yet', 'event', 'warmth', 'place', 'great']",family local;great place;sporting events;,ambience
"The service was great, and they have a whole great deal for birthdays.","['whole', 'servic', 'birthday', 'deal', 'great']",whole great;great deal;,service
The staff is 100% Italian and the food is as authentic as it gets.,"['get', 'staff', 'food', 'authent', 'italian']",% italian;as authentic;,service
My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.,"['bad', 'fortun', 'complaint', 'cooki', 'visit', 'predict', 'kar', 'luck', 'never', 'might']",only complaint;never had;predict bad;bad luck;visited kar;,anecdotes/miscellaneous
Good for a quick sushi lunch.,"['quick', 'lunch', 'sushi', 'good']",quick sushi;,anecdotes/miscellaneous
Have a mojito and sit in the back patio.,"['patio', 'sit', 'back', 'mojito']",back patio;,food
The service was dreadfully slow (the place was only half full) and a smile would have been nice...,"['half', 'nice', 'smile', 'slow', 'full', 'servic', 'would', 'place', 'dread']",dreadfully slow;only half;half full;,service
I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.,"['excel', 'lamb', 'consist', 'brais', 'meal', 'potato', 'saturday', 'mash', 'shank', 'go', 'past']",i went;past saturday;excellent meal;braised lamb;mashed potatoes;,food
The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!,"['come', 'lunch', 'eat', 'soy', 'sauc', 'waitress', 'pick']",,service
"So we sat at the bar, the bartender didn't seem like he wanted to be there.","['like', 'want', 'seem', 'bar', 'sit', 'bartend']",n't seem;,service
"I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice.","['chicken', 'fri', 'beef', 'dumpl', 'rice', 'orang', 'reccomend', 'pork']",i reccomend;fried pork;fried rice;,food
You will not be dissapointed by any of the choices in the menu.,"['menu', 'choic', 'dissapoint']",not be;,food
The french fries -- with the kalmata dip were terrific!,"['terrif', 'fri', 'dip', 'kalmata', 'french']",french fries;,food
"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?","['pay', 'manag', 'ever', 'complain', 'hour', 'would', 'wait', 'tell', 'drink', 'believ', 'minut', 'bartend', 'spill']",ever believe;20-30 minutes;just paid;,service
The boutique selection of wines covers a wide variety without being imposeing.,"['without', 'impos', 'cover', 'wide', 'win', 'varieti', 'boutiqu', 'select']",wide variety;being imposeing;,food
"If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out.","['back', 'get', 'chanc', 'chill', 'privat', 'lucki', 'realli', 'go', 'parti']",private party;really chill;,ambience
They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.,"['wrap', 'assort', 'also', 'mood', 'tradit', 'fare', 'mediterranean', 'great']",also have;great assortment;traditional mediterranean;,food
"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious.","['sort', 'falafel', 'much', 'chees', 'lamb', 'soup', 'medley', 'eastern', 'rice', 'veget', 'fooood', 'soooo', 'delici', 'spinach', 'root', 'fish', 'veggi', 'kebab', 'baclava', 'middl', 'spread', 'thing', 'fresh']",fresh veggies;middle eastern;eastern spreads;spinach thing;lamb kebabs;cheese baclava;soooo much;much fooood;,food
"Disappointingly, their wonderful Saketini has been taken off the bar menu.","['wonder', 'saketini', 'disappointingli', 'menu', 'take', 'bar']",wonderful saketini;,food
In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.,"['sport', 'sheep', 'kitsch', 'short', 'distinguish', 'ornat', 'herd', 'bar', 'butch', 'mix', 'look', 'black', 'midtown', 'pub']",black sheep;midtown pub;ornate kitsch;,ambience
I would definitely go back -- if only for some of those exotic martinis on the blackboard.,"['back', 'blackboard', 'martini', 'would', 'definit', 'go', 'exot']",definitely go;exotic martinis;,food
They are located off the beaten path but are certainly worth the trip.,"['certainli', 'beat', 'path', 'locat', 'worth', 'trip']",beaten path;,anecdotes/miscellaneous
then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,"['tabl', 'fuss', 'peopl', 'make', 'abl', 'either', 'chair', 'addit', 'end', 'add']",not being;additional people;,service
"The happy hour is so cheap, but that does not reflect the service or the atmosphere.","['happi', 'atmospher', 'servic', 'hour', 'reflect', 'cheap']",happy hour;so cheap;not reflect;,price
"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.","['waiter', 'order', 'forget', 'brusqu', 'give', 'hour', 'almost', 'wait', 'tell', 'kitchen', 'us']",brusquely told;,service
With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.,"['quailiti', 'atmospher', 'avenu', 'th', 'nice', 'one', 'step', 'mediocr', 'place', 'mundan']",mediocre places;,ambience
"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.","['space', 'bare', 'crowd', 'area', 'treat', 'resid', 'mix', 'cheap', 'quick', 'price', 'dirt', 'student', 'narrow', 'tasti']",tasty treats;dirt-cheap prices;,ambience
"Give it a try, menu is typical French but varied.","['vari', 'give', 'menu', 'tri', 'typic', 'french']",typical french;,food
It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.,"['lunchtim', 'get', 'back', 'seat', 'crowd', 'nice', 'lot', 'work', 'everyon']",are lots;so nice;,ambience
"but for the value, it was a great affordable spot to enjoy a fun night out with small group.","['small', 'great', 'afford', 'enjoy', 'night', 'group', 'valu', 'fun', 'spot']",great affordable;affordable spot;small group;,price
the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.,"['restaur', 'qualiti', 'custom', 'top', 'templ', 'citi', 'treat', 'posit', 'proper', 'search', 'entir', 'review', 'attitud', 'way', 'compet', 'neg', 'probabl', 'realiz', 'jealou', 'deliv', 'food']",negative reviews;jealous competing;competing restaurants;n't compete;entire positive;positive attitude;proper way;top quality;,service
We ordered a glass of wine and were finished eating and paying before the wine came.,"['come', 'finish', 'pay', 'order', 'glass', 'eat', 'wine']",finished eating;,service
"It was good, but none of the flavors WOW.","['none', 'wow', 'good', 'flavor']",,food
"Overall, this is a nice place to take a few friends to hang out at and the service is excellent.","['hang', 'nice', 'excel', 'friend', 'servic', 'take', 'overal', 'place']",nice place;few friends;,service
Food is excellent quality for a good restaurant price.,"['restaur', 'qualiti', 'excel', 'good', 'food', 'price']",excellent quality;good restaurant;,food
"Actually, everyone who worked there seemed to be annoyed.","['actual', 'seem', 'work', 'everyon', 'annoy']",there seemed;,anecdotes/miscellaneous
"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.","['get', 'burrito', 'buck', 'eleven', 'margarita', 'dessert', 'taco', 'gigant']",about eleven;eleven bucks;gigantic burrito;,price
The space is traditional in feel.,"['space', 'feel', 'tradit']",,ambience
"the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?","['restaur', 'reserv', 'empti', 'give', 'complet', 'dirti', 'look', 'ask']",completely empty;dirty look;,service
the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.,"['small', 'interior', 'team', 'actual', 'averag', 'owner', 'tag', 'unpleasantri', 'rude', 'hearti', 'whilst', 'mediocr', 'guffaw', 'din', 'kind', 'let', 'food', 'snotti']",be kind;so rude;snotty i;actually let;,food
"Good service, great food, good value, and never have to wait in line!","['servic', 'valu', 'good', 'wait', 'never', 'line', 'food', 'great']",good service;great food;good value;never have;,service
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.,"['hot', 'mcmuffin', 'like', 'cake', 'sandwich', 'offer', 'egg', 'avail', 'breakfast']",hot cakes;,food
"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.","['food', 'restaur', 'year', 'averag', 'servic', 'inconsist', 'go', 'past']",,service
"The music was fascinating, but left room for conversation, and the bartender made superb drinks.","['leav', 'superb', 'convers', 'fascin', 'make', 'room', 'music', 'drink', 'bartend']",left room;superb drinks;,ambience
rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!,"['ice', 'set', 'dish', 'night', 'rice', 'drink', 'add', 'noodl', 'rare', 'exceed', 'refresh']",noodle dishes;rarely exceed;,food
Cuisine is billed as asian fusion - doesn't meet the bill.,"['meet', 'cuisin', 'asian', 'bill', 'fusion']",asian fusion;n't meet;,price
Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,"['like', 'element', 'salad', 'dish', 'king', 'vinaigrett', 'creativ', 'seafood', 'unexpect', 'sauc', 'bistro', 'fruit', 'rosemari', 'otherwis', 'fettuccin', 'passion', 'crab', 'predict', 'menu', 'grill', 'orang']",creative dishes;king crab;grilled seafood;unexpected elements;otherwise predictable;predictable bistro;,food
"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs.","['subtli', 'rib', 'true', 'sweet', 'honey', 'asterisk', 'mustard', 'short', 'roy', 'mark', 'beef', 'crust', 'classic', 'dish', 'menu', 'mahi', 'macadamia', 'tri', 'denot', 'recip']",tried-and-true recipes;macadamia-crusted mahi;subtly sweet;sweet honey-mustard;honey-mustard beef;beef short;short ribs;,food
"The cold sesame noodles, which are a freebie when you order $10+, are delectable.","['freebi', 'delect', 'sesam', 'cold', 'order', 'noodl']",cold sesame;,food
"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.","['come', 'fresh', 'get', 'restaur', 'freez', 'serv', 'eat', 'meal', 'enjoy', 'margin', 'expect', 'food', 'great']",great meal;marginally so-so;so-so food;just so;so freezing;n't enjoy;,ambience
The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.,"['lone', 'argentin', 'chorizo', 'like', 'sell', 'heavi', 'one', 'appet', 'store', 'flavor', 'sausag', 'italian', 'fennel', 'lb']",heavy fennel;italian sausage;,price
"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing.","['famili', 'noth', 'nice', 'amaz', 'swifti', 'friend', 'dinner', 'go']",i went;very nice;nice dinner;,anecdotes/miscellaneous
"Best Chinese on the Upper East, prompt delivery, good value.","['best', 'prompt', 'east', 'upper', 'good', 'valu', 'deliveri', 'chines']",best chinese;upper east;prompt delivery;good value;,service
